,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
810,23,25.0,1.0,1.0,3,21643.950383821997,625178.425931938,4366026.982459489,609491.2981338733,4368243.372571359,Palermo,Richvale,39.43470069360764,-121.54547227378605,39.45680331091951,-121.72734240684473,86465025.0,86456744.0,26310.660999999996,21.848333333333333,6.1402497978685915,59.29769542420458,
811,23,26.0,1.0,1.4285714285714286,10,17712.395025186626,628829.8092508058,4367053.175252107,644181.2296797964,4369727.622753377,Palermo,Robinson Mill,39.443406000869324,-121.50285999997368,39.46506146305062,-121.32395014996202,4301527416.0,86563585.0,29892.314,33.353333333333325,34.223351120565205,151.68173696261752,
812,23,27.0,31.0,33.666666666666664,1313,742.2203603763966,624394.6397174655,4368463.763357714,624812.1256762613,4369078.710356683,Palermo,South Oroville,39.4567642220628,-121.55412292478,39.462243087463285,-121.54915679529509,86425664.0,86416928.0,1044.6390000000001,1.075,28.32467882389072,25.76721742830103,
813,23,29.0,13.0,16.692307692307693,651,11524.781939382774,624765.2206755348,4366840.861795615,616871.4558717876,4373666.619610336,Palermo,Thermalito,39.44209187764548,-121.5501201165907,39.504686083552,-121.64063119674651,86435581.0,86462451.0,17960.804,16.343333333333334,8.863758660920865,46.617388231196614,
814,23,30.0,1.0,1.0,2,32534.384044420603,620554.7822353842,4362804.619752901,628509.2522005185,4394338.123394223,Palermo,Yankee Hill,39.40633298050589,-121.5997630209529,39.68922031434008,-121.50130150896918,86597713.0,5221990011.0,42397.84,27.499999999999993,35.63467373242268,136.86250605920478,
815,23,32.0,1.0,1.25,5,35852.9715733113,625029.4421682991,4366603.448344395,619751.8251071172,4402065.85560606,Palermo,Paradise,39.43991500090725,-121.54709499995363,39.76010130544574,-121.60199737574361,86450228.0,86518780.0,41188.399999999994,29.675000000000008,7.346374519924336,3.8117852666111385,
816,23,33.0,1.0,1.0,1,38746.16590800573,627188.6861628413,4363598.672118369,619348.3636119391,4401543.299074876,Palermo,Paradise,39.412532807261044,-121.52258300778695,39.75545100091831,-121.60680099997575,86553945.0,86430226.0,45017.771000000015,33.90666666666668,42.30628426775681,2.994394853407033,
817,23,34.0,1.0,1.0,2,39426.53243537787,631412.9741258181,4365277.810273812,618602.8936434502,4402459.478991084,Palermo,Paradise,39.42702421802067,-121.47319995153444,39.76380764122389,-121.61533546496943,86516642.0,86426470.0,46815.88500000002,38.74500000000001,69.35506975149539,2.9549912048866895,
818,23,35.0,1.0,1.0,4,37135.25985769121,624506.3481848622,4366092.255715465,618207.5357303789,4402689.344403321,Palermo,Paradise,39.435386043033944,-121.55326706910884,39.765933132623815,-121.61990858207098,86479020.0,86639900.0,43075.373999999996,31.356666666666676,1.8703062436882028,3.010875857735144,
819,23,36.0,1.0,1.0,3,36624.413282726186,624337.8310435999,4366761.744217367,617046.1450036324,4402652.954325114,Palermo,Paradise,39.44144100086905,-121.55509999997541,39.765765766685966,-121.63347083405647,86435602.0,86442373.0,43414.613000000005,32.82666666666668,8.747838665771518,12.235935132999712,
