,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT
579,16,13.0,1.0,1.0,1,57382.69943670548,642192.6480980241,4378570.268556837,599964.8817594674,4417423.710421098,Forbestown,Cohasset
580,16,14.0,2.0,1.75,7,32172.056265704035,651441.1248969226,4375638.499489955,629164.8171089883,4398071.418571733,Forbestown,Concow
581,16,15.0,1.0,1.0,2,42908.05271081856,651586.2907199962,4371662.35185199,610447.6480009861,4383854.6767651355,Forbestown,Durham
582,16,21.0,1.0,1.0,2,67547.29679520268,651084.9072685544,4376069.666164827,589511.7461896583,4403841.2281888705,Forbestown,Nord
583,16,22.0,2.0,3.53125,113,19598.14584974729,651084.8804897133,4376069.666164827,631591.0521489093,4372017.17693754,Forbestown,Oroville East
584,16,24.0,9.0,10.789473684210526,410,14976.053724459853,651084.9072685544,4376069.666164827,637890.8015403633,4368984.628466181,Forbestown,Rackerby
585,16,26.0,4.5,5.8125,186,7020.935614915591,651084.8871336236,4375890.709941279,647997.416425438,4369213.408623834,Forbestown,Robinson Mill
586,16,27.0,1.0,1.0,1,25149.42611341953,650794.5343317196,4376470.144897769,626283.503674272,4370839.602300114,Forbestown,South Oroville
587,16,29.0,1.0,2.3076923076923075,30,37374.88231256562,651084.3828332182,4376070.085600683,613786.8604073067,4373666.619610336,Forbestown,Thermalito
588,16,30.0,1.0,1.0,2,30778.28965564247,651084.8942660439,4376069.67146258,626808.118131492,4394987.426990735,Forbestown,Yankee Hill
589,16,32.0,3.5,3.5,7,40713.19175701966,651084.9072685544,4376069.666164827,619751.8251071172,4402065.857141746,Forbestown,Paradise
590,16,33.0,1.0,1.0,1,33050.392231451755,646064.7272863945,4382358.2455225205,619308.6757623376,4401760.362249693,Forbestown,Paradise
591,16,41.0,1.0,1.0,1,33519.46322068721,643214.4756469615,4380197.035820284,621787.7578466949,4405973.966958624,Forbestown,Paradise
592,16,43.0,1.5,1.5,3,45657.92734771793,651084.9072685544,4376069.666164827,612387.6212727928,4400301.182548489,Forbestown,Butte Creek Canyon
593,17,1.0,10.0,11.076923076923077,432,18478.451496881353,612913.0992915313,4414757.326526594,600719.4215123882,4400389.272903155,Forest Ranch,Chico
594,17,2.0,1.0,1.0,8,41604.47223444401,612911.7818655919,4414761.380602575,625286.5310506651,4375108.698922848,Forest Ranch,Oroville
595,17,4.0,2.0,3.0,48,51246.06617640621,612108.4759340757,4412213.143144284,612275.2977456262,4360967.34849692,Forest Ranch,Biggs
596,17,5.0,1.0,1.3333333333333333,8,60989.84859317767,617489.0279920315,4418549.304971,612678.1919585047,4357280.8617831115,Forest Ranch,Gridley
597,17,9.0,1.0,1.0,2,26420.41270688825,613851.25423987,4416479.34014018,626333.7714588188,4439760.166919462,Forest Ranch,Butte Meadows
598,17,10.0,1.0,1.0,2,24765.350305697786,615632.0044113877,4417403.0227877665,618212.8021470497,4392878.81887831,Forest Ranch,Butte Valley
599,17,11.0,1.0,1.0,1,24130.80588114686,614540.2488388948,4414616.992293142,624794.3059716702,4392773.226482472,Forest Ranch,Cherokee
600,17,13.0,5.5,6.615384615384615,172,3264.987917278301,609511.3501496076,4413880.5771011785,607760.9652386243,4416518.6480869,Forest Ranch,Cohasset
601,17,15.0,1.0,1.1,11,25184.52819399276,613131.3067165135,4414668.421572133,603269.4871530085,4390322.129890425,Forest Ranch,Durham
602,17,21.0,1.0,1.2,6,28953.113156028692,614393.7542026974,4420661.023910556,584412.6378003734,4419076.784379807,Forest Ranch,Nord
603,17,22.0,1.0,1.0,1,53386.71699958564,613071.9050478425,4422088.955413812,631591.0398333875,4372017.174950275,Forest Ranch,Oroville East
