stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
f94cb25e-0ba8-4581-a52b-1ddd6bd535af,"322","9th Street & Pine",,39.7287414806331,-121.830032427909,0,0
7c93eb8f-4af5-4ee1-b024-617ec6d4806c,"375","E 9th & Linden",,39.7322109182007,-121.824831624319,0,0
b36e6749-42d4-44a8-a94a-dffeb40b8149,"323","E 9th & Bartlett St",,39.7345712622745,-121.821276356058,0,0
8567d2b9-06d9-4f0d-9247-bb380c97b976,"370","E 20th St & Chico Mall","Pier 1",39.7272072569851,-121.804141062745,0,0
8a9dff8b-1557-4adf-b379-523ba888b516,"295","Forest Ave & E 20th St",,39.7266386286401,-121.801611739493,0,0
8a0ee8af-eb47-4741-9d19-89be9c234d7a,"296","Forest Xfer (WalMart)",,39.7223403884375,-121.801609057284,0,0
c2d2d082-447a-40c1-a8cc-c5992190ee79,"424","Forest Ave at Butte College ",,39.7184310685653,-121.800852674297,0,0
e69bc5dd-c4b6-471a-8b4d-7c0c23de87cd,"198","Notre Dame Blvd & Skyway",,39.7164636681356,-121.795330005606,0,0
92d1d24e-d77d-46b0-87cc-166d3cf9a984,"609","Garden Dr & SR 70","Forebay Stop",39.5348258039251,-121.581178401779,0,0
8e5cdf1d-fc87-4218-bd0a-2aebe6a4e515,"616","Table Mountain Blvd & Garden",,39.5328932722147,-121.572292242783,0,0
74e9dd6a-168d-4603-bff7-5c840086c381,"522","Nelson Ave & 2nd St",,39.5240768506573,-121.569048110786,0,0
6e63e32e-a922-4e33-8ec4-23857ccf0d92,"507","Nelson Ave & Fogg Ave",,39.5240822150756,-121.564261708514,0,0
87d5eb43-dfa4-4f92-a8a7-fc9b4abec31f,"40","Table Mountain Blvd & Nelson Ave","LDS Church",39.5234746946975,-121.557778808938,0,0
534c56dc-0222-4119-a0b7-a3dfbc073496,"42","Table Mountain Blvd & Grand Ave","Social Security",39.5222073508625,-121.555846277228,0,0
93bf9cfe-8738-48ee-a800-6c5fc8c9764d,"44","Montgomery St & Table Mtn Blvd","Veteran's Memorial Hall",39.515578270887,-121.551100108093,0,0
c1aa771e-6f13-45e6-92ac-4d4c4f0ef45a,"45","Montgomery St & Myers St","Transit Station",39.5139716275914,-121.555359456263,0,0
bbce08ea-b0be-4b88-a2a2-7b0c2e65853d,"610","Myers & D St","Flag stop  time point",39.497107237405,-121.5487048953,0,0
b5b3b117-4e98-4d5f-a27a-58cba7c218e7,"547","Olive Hwy & Foothill Blvd","South, inbound",39.5011573732589,-121.531967910049,0,0
2ffd2062-7bf7-4533-a63d-aebab9ef7c38,"478","Olive Hwy & Arbol Ave","Mt. Vista RV Park",39.504235208287,-121.512068600182,0,0
cdcbcbe2-a15c-4278-85bd-e6b449b198bf,"479","Gold Country Casino",,39.504155,-121.505815,0,0
1ddafb8f-f91a-406c-91c7-8e30e79644ef,"549","Olive Hwy & Skyline Blvd","across from Wagon Wheel",39.5100623077191,-121.489374428354,0,0
3fd13e03-a940-4896-b26b-9e4376b05520,"548","Olive Hwy & Saddle Drive","Lakeside Market",39.5042928757842,-121.463442830053,0,0
23f67949-071a-4f69-929b-5a91adb249e7,"598","Kelly Ridge & Royal Oaks","Rt 26 timepoint in flag stop area",39.5315843541374,-121.467243520453,0,0
b21f954f-273b-4609-b931-4fa89015bb4e,"550","Olive Hwy & Skyline Blvd","Wagon Wheel Market",39.5100891298109,-121.489359676204,0,0
5319289a-1ba3-454f-9e1c-d18d9c25a5ff,"480","Olive Hwy & Foothill Blvd","Oroville Saw",39.5011761487231,-121.532013507605,0,0
c247e17e-1471-480a-b7a7-af9afbf564a7,"66","Oroville Hospital","Olive Pharmacy",39.5044323506613,-121.541917564983,0,0
bef0ab5b-bb04-4d8e-9dc9-90a326465b01,"64","Olive Hwy & Fay Way","Across from Pastime Autowash",39.5057546797844,-121.544044556859,0,0
b524b163-53cb-4a55-bbc5-eea45d42aa65,"481","Washington Ave & Oro Dam Blvd","Rite Aid",39.5070850555351,-121.546205076349,0,0
b7f822df-e152-4dc9-be4d-da1d3465ff19,"483","Lincoln Blvd & Marysville Baggett Rd",,39.4895903461927,-121.55128920384,0,0
82a34717-5bf4-494e-a5f4-6fc1e37a4778,"489","Lincoln Blvd & Mill St","Southbound",39.4862858644894,-121.551097425884,0,0
c45bd8e7-e2cf-4813-8475-166ab7e40d8d,"487","Lincoln Blvd & Mill St","Across from Beaver's Market",39.4839550247166,-121.551314684827,0,0
9540c3ac-d951-4729-9e83-c5aebfb26f9a,"484","Lincoln Blvd & Clinton Ave",,39.4816898990685,-121.550256553308,0,0
4a051ed6-b681-4a8d-94d7-a2e20a2fb1bc,"551","Las Plumas High School","Las Plumas & Autrey Rt 27 timepoint",39.4804761994169,-121.536247374788,0,0
28180a97-f347-4485-bb95-4b919a7015e6,"485","Lincoln Blvd & Virginia St",,39.4821673323016,-121.550453695682,0,0
c23d4def-4cf7-49af-aadb-a165b96f3924,"486","Lincoln Blvd & Mill St","Beaver's Market",39.4839550247166,-121.551277133899,0,0
727a82ad-01c1-4137-9aff-b14c9938539c,"488","Lincoln Blvd & Mill St","Northbound",39.4862845233849,-121.551045122805,0,0
5aa1b72f-c72e-4c20-ac9b-b2a3a06e51b4,"490","Lincoln Blvd & Grove St",,39.4887065582697,-121.551167163322,0,0
3f0b9d06-4d5d-48c7-a92c-2091a468c8c5,"324","W 2nd & Cherry","(CSU WREC)",39.7258353069922,-121.847089937156,0,0
2ae95362-41f7-4121-a6a2-e2e72e079b91,"171","Nord & W 1st","(Northside)",39.7254477277665,-121.850867828778,0,0
208ddae3-1f15-4047-84b7-101403b77602,"278","Nord Ave & Stewart Ave","CSUC access path/crosswalk",39.7273078398292,-121.853167823146,0,0
596a4122-7b36-4bb2-b26b-b050dcf46245,"387","Nord Ave & W. Sacramento Ave","Englewood Condos",39.730028941037,-121.856939009246,0,0
47c70738-eb5d-4096-b015-62368fee51e2,"268","Nord Ave & W. Sacramento Ave","Safeway",39.7313727278336,-121.860145590314,0,0
5971421f-f4c3-4ba5-8dde-509c2a856ee1,"382","Nord Ave & W. Sacramento Ave","Walnut Grove Apts",39.7323182065677,-121.861984244703,0,0
