shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
44bdccdb-8f88-42a9-ae82-b11fccd1ddc8,39.7286261456386,-121.842892279797,28,4653.14
efafb3d4-d49e-4af7-84c5-7fa56050c337,39.7635109581656,-121.620635039844,269,32606.56
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.5080546741518,-121.547080817645,266,24158.73
a061b7c9-a982-4126-a947-0545122b74f0,39.7275505797595,-121.686664324204,62,17203.5
1404dddd-568d-46ca-951f-c22c0bd473de,39.8233309282858,-121.600082612043,21,3222.36
5d05ad6b-ea94-46bc-a6a2-541988d9c112,39.7342105051404,-121.803926486011,14,2165.33
1404dddd-568d-46ca-951f-c22c0bd473de,39.7987431167807,-121.584443991449,70,9910.68
079c8d68-a67c-42d7-a7b8-79fb63be47b8,39.757769689427,-121.843417992796,42,8667.94
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8181891332978,-121.589866077296,157,35005.52
9911166a-0d90-4877-8adf-ddc098ddc482,39.7308778602408,-121.849926373358,8,1323.11
15509f20-68de-4d4e-9b0a-3630902dc958,39.6148884066873,-121.680437575605,51,22163.28
fe693bb8-ad93-4b61-9adb-c41827a61920,39.4342188199889,-121.56958723483,46,15173.29
c7d1e69b-3a5f-410b-9d03-16707a8cbbd6,39.7287468450515,-121.842666974227,0,0
c26110d2-beda-4efb-b1c8-d1f52fffaace,39.7895847135535,-121.891681664686,8,828.57
0d8c11a9-8a47-4d09-b96e-f363c4bf8e27,39.7521303446371,-121.846926322396,39,5287.62
54a78abd-2c84-4d23-a717-20564082d91f,39.7509957701561,-121.844718864245,38,7426.35
b0ce437c-cbf7-43e4-a7e5-af00b9d50006,39.8431189264726,-121.598095095044,191,38133.63
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.8145493754476,-121.590067242984,156,34600.71
b0ba2fa3-6eaf-42cb-9911-de9c7d1f66ea,39.7255644038656,-121.827929575916,10,1925.85
7eb06e28-39c2-4bd3-b1dd-c1009af1b5d3,39.5040152671346,-121.525147052118,244,21896.57
eacd1e73-1bd3-4c75-a3f1-2cbeaad14180,39.7231946720597,-121.830319424291,7,1298.87
2ebc22f4-10d9-463a-b188-0793aeca0b1b,39.3670093635922,-121.68794373798,19,8125.42
